name,match_name,tier,fact,source,hook,center_lon,center_lat,zoom,context,times_used,last_rendered,notes
Italy,,easy,The boot-shaped peninsula extends into the Mediterranean Sea.,,,,,,,2,2026-09-05,
Japan,,easy,The island country sits east of the Korean Peninsula.,,,,,,,2,2026-09-05,
Australia,,easy,It is both a country and the smallest continent.,,,,,,,3,2026-09-05,
Mexico,,easy,It borders the United States to the north and Guatemala and Belize to the south.,,,,,,,2,2026-09-05,
India,,easy,It is the most populous country in the world.,UN World Population Prospects,,,,,,2,2026-09-05,
United Kingdom,,easy,"It includes England, Scotland, Wales and Northern Ireland.",,,,,,,2,2026-09-05,
Brazil,,easy,It is the largest country in South America.,,,,,,,3,2026-09-05,
South Africa,,easy,It sits at the southern end of the African continent.,,,,,,,2,2026-09-05,
Egypt,,easy,The Nile runs through it before reaching the Mediterranean Sea.,,,,,,,3,2026-09-05,
Canada,,easy,It has the world's longest coastline.,,,,,,,3,2026-09-05,
Vietnam,,medium,It runs down the eastern edge of the Indochinese Peninsula.,,,,,,,2,2026-09-05,
Chile,,medium,"A long, narrow country pressed between the Andes and the Pacific.",,,,,,,3,2026-09-05,
Turkey,,medium,"It spans two continents, with Istanbul straddling Europe and Asia.",,,,,,,2,2026-09-05,
New Zealand,,medium,"Two main islands in the South Pacific, southeast of Australia across the Tasman Sea.",,,,,,,2,2026-09-05,
Greece,,medium,Thousands of islands scatter across the Aegean and Ionian seas.,,,,,,,3,2026-09-05,
Norway,,medium,Its western coast is cut by deep glacial fjords.,,,,,,,2,2026-09-05,
Morocco,,medium,"It faces both the Atlantic and the Mediterranean, across the strait from Spain.",,,,,,,3,2026-09-05,
Philippines,,medium,"An archipelago of more than 7,000 islands in Southeast Asia.",,,,,,,2,2026-09-05,
Madagascar,,medium,"The world's fourth largest island, off the southeast coast of Africa.",,,,,,,3,2026-09-05,
South Korea,,medium,It occupies the southern half of the Korean Peninsula.,,,,,,,2,2026-09-05,
Georgia,,hard,"It sits in the Caucasus, between the Black Sea and Russia.",,,,,,,2,2026-09-05,
Laos,,hard,The only landlocked country in Southeast Asia.,,,,,,,2,2026-09-05,
Uruguay,,hard,It sits between Brazil and Argentina on the Atlantic coast.,,,,,,,2,2026-09-05,
Tunisia,,hard,The northernmost country in Africa.,,,,,,,2,2026-09-05,
Croatia,,hard,"Its coastline runs down the Adriatic in a long, narrow curve.",,,,,,,2,2026-09-05,
Eritrea,,hard,"It runs along the Red Sea, north of Ethiopia.",,,,,,,2,2026-09-05,
Kyrgyzstan,,hard,A mountainous Central Asian country bordering China.,,,,,,,2,2026-09-05,
Belize,,hard,The only country in Central America with English as its official language.,,,,,,,3,2026-09-05,
Slovenia,,hard,"It sits between the Alps and the Adriatic, south of Austria.",,,,,,,2,2026-09-05,
Malawi,,hard,Much of its eastern border is a lake that shares its name.,,,,,,,2,2026-09-05,
Lesotho,,expert,It is entirely surrounded by South Africa.,,,,,,,2,2026-09-05,
Eswatini,Swaziland,expert,Landlocked between South Africa and Mozambique. It was called Swaziland until 2018.,,,,,,,2,2026-09-05,
Brunei,,expert,"A small, oil-rich state on the island of Borneo.",,,,,,,2,2026-09-05,
The Gambia,,expert,"It follows a river inland, almost entirely surrounded by Senegal.",,,,,,,2,2026-09-05,
Timor-Leste,,expert,It occupies the eastern half of an island north of Australia.,,,,,,,2,2026-09-05,
Djibouti,,expert,"It sits at the mouth of the Red Sea, across from Yemen.",,,,,,,2,2026-09-05,
Bhutan,,expert,A Himalayan kingdom between India and China.,,,,,,,3,2026-09-05,
Suriname,,expert,The smallest sovereign state in South America.,,,,,,,2,2026-09-05,
Comoros,,expert,Islands in the channel between Madagascar and Mozambique.,,,,,4.5,,2,2026-09-05,Pulled back to show Madagascar and the African coast; the locator ring marks it.
Sao Tome and Principe,,expert,"Two islands in the Gulf of Guinea, off Central Africa.",,,,,3.0,,2,2026-09-05,Pulled back to show the African coast; the locator ring marks it.
